"Location","Date","Hospitisation_Status","Hospitisation_Count"
"Bay of Plenty","2022-09-15","People in hospital",5
"Capital & Coast","2022-09-15","People in hospital",15
"Counties Manukau","2022-09-15","People in hospital",22
"Hutt Valley","2022-09-15","People in hospital",9
"Lakes","2022-09-15","People in hospital",1
"MidCentral","2022-09-15","People in hospital",7
"Northland","2022-09-15","People in hospital",1
"Tairawhiti","2022-09-15","People in hospital",0
"Wairarapa","2022-09-15","People in hospital",7
"Whanganui","2022-09-15","People in hospital",0
"Auckland","2022-09-15","People in hospital",48
"Canterbury","2022-09-15","People in hospital",41
"Hawke's Bay","2022-09-15","People in hospital",2
"Nelson Marlborough","2022-09-15","People in hospital",5
"South Canterbury","2022-09-15","People in hospital",1
"Southern","2022-09-15","People in hospital",9
"Taranaki","2022-09-15","People in hospital",3
"Waikato","2022-09-15","People in hospital",18
"Waitematā","2022-09-15","People in hospital",46
"West Coast","2022-09-15","People in hospital",1
