"Location","Cases_Count","Active","Deceased","Recovered","Hospitisation_Count"
"Auckland",207221,1728,158,205335,48
"Bay of Plenty",96741,1094,122,95525,5
"Canterbury",278560,2321,337,275902,41
"Capital and Coast",151426,1216,110,150100,15
"Counties Manukau",250284,2139,196,247949,22
"Hawke's Bay",72653,757,113,71783,2
"Hutt Valley",74461,532,73,73856,9
"Lakes",43140,434,72,42634,1
"Midcentral",78759,767,126,77866,7
"Nelson Marlborough",63478,835,83,62560,5
"Northland",66307,785,81,65441,1
"South Canterbury",27758,149,30,27579,1
"Southern",155113,1117,197,153799,9
"Tairawhiti",21745,423,27,21295,0
"Taranaki",53616,546,92,52978,3
"Waikato",171026,1548,243,169235,18
"Wairarapa",20470,201,47,20222,7
"Waitemata",256143,2159,264,253720,46
"West Coast",12584,106,13,12465,1
"Whanganui",27750,267,45,27438,0
